obj_id,Area,rst1,Mean_1
119,1,0,223
120,1,0,230
121,1,0,229
122,1,0,227
123,1,0,231
124,1,0,228
125,1,0,230
126,1,0,227
127,1,0,228
128,1,0,230
129,2,0.25,228
130,1,0,225
131,1,0,224
132,1,0,225
133,1,0,226
134,1,0,225
135,1,0,224
136,1,0,227
137,1,0,229
138,1,0,227
139,1,0,226
140,1,0,222
141,1,0,223
142,1,0,226
143,1,0,228
144,1,0,230
145,1,0,228
146,1,0,230
147,1,0,227
148,1,0,228
149,2,0.25,226
150,2,0.25,228
151,1,0,227
152,1,0,226
153,1,0,223
154,2,0.25,228
155,1,0,224
156,1,0,226
157,1,0,225
158,1,0,222
159,1,0,228
160,1,0,230
161,2,0.25,224
162,1,0,225
163,1,0,224
164,2,0.25,225
165,1,0,224
166,1,0,225
167,1,0,226
168,1,0,227
169,1,0,221
170,1,0,223
171,1,0,224
172,1,0,228
173,1,0,227
174,3,0.222222222222222,228
175,1,0,226
176,1,0,225
177,1,0,226
178,1,0,224
179,1,0,221
180,2,0.25,220
181,1,0,221
182,1,0,220
183,2,0.25,221
184,1,0,222
185,1,0,220
186,1,0,223
187,1,0,221
188,1,0,223
189,1,0,225
190,1,0,224
191,1,0,221
192,1,0,222
193,1,0,219
194,1,0,220
195,1,0,218
196,1,0,220
197,1,0,219
198,1,0,214
199,1,0,220
200,1,0,222
201,1,0,220
202,1,0,222
203,1,0,223
204,1,0,222
205,1,0,223
206,3,0.222222222222222,222
207,3,0.222222222222222,220
208,1,0,217
209,1,0,220
210,1,0,221
211,2,0.25,219
212,2,0.25,220
213,1,0,218
214,1,0,219
215,1,0,217
216,1,0,219
217,1,0,220
218,1,0,218
219,1,0,221
220,1,0,218
221,1,0,222
222,1,0,221
223,1,0,216
224,2,0.25,218
225,2,0.5,217
226,1,0,216
227,1,0,215
228,1,0,210
229,2,0.25,215
230,3,0.222222222222222,218
231,1,0,220
232,2,0.5,218
233,1,0,220
234,1,0,221
235,1,0,219
236,1,0,214
